Entity,Code,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO₂) emissions,Carbon monoxide (CO) emissions,Organic carbon (OC) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Black carbon (BC) emissions,Ammonia (NH₃) emissions,Unnamed: 10,median,mean,std
Afghanistan,AFG,1750,555.4786,174.87167,142073.31,5456.885,13596.633,1633.0308,7681.0464,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1760,578.50757,181.99332,147859.23,5679.1167,14150.87,1699.5359,8000.8574,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1770,602.4798,189.3885,153867.4,5909.884,14726.47,1768.5956,8333.961,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1780,627.4322,197.06535,160104.42,6149.441,15324.077,1840.2854,8680.906,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1790,653.4031,205.03189,166576.77,6398.037,15944.332,1914.6805,9042.266,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1800,680.43176,213.2959,173290.81,6655.9165,16587.861,1991.8536,9418.633,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1801,685.1405,214.15396,173987.94,6682.692,16654.688,1999.8665,9475.341,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1802,689.86475,215.01175,174684.84,6709.4595,16721.494,2007.877,9532.194,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1803,694.60455,215.8693,175381.55,6736.219,16788.283,2015.8851,9589.192,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1804,699.35986,216.72658,176078.05,6762.9707,16855.053,2023.8909,9646.336,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1805,704.1308,217.58362,176774.33,6789.7144,16921.803,2031.8942,9703.624,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1806,708.91724,218.4404,177470.42,6816.45,16988.533,2039.8951,9761.057,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1807,713.6868,219.29692,178166.3,6843.178,17055.246,2047.8938,9818.336,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1808,718.5043,220.15318,178861.97,6869.8984,17121.94,2055.89,9876.058,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1809,723.3372,221.0092,179557.42,6896.6104,17188.613,2063.8838,9933.924,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1810,728.1857,221.86496,180252.69,6923.3145,17255.27,2071.8752,9991.936,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1811,733.1693,222.7544,180975.3,6951.0693,17324.555,2080.1812,10051.756,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1812,738.16907,223.64354,181697.67,6978.815,17393.816,2088.4844,10111.728,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1813,743.18506,224.53238,182419.81,7006.552,17463.059,2096.785,10171.85,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1814,748.21716,225.42094,183141.72,7034.2793,17532.277,2105.0828,10232.123,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1815,753.2655,226.30922,183863.39,7061.9976,17601.477,2113.378,10292.548,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1816,758.2964,227.1972,184584.83,7089.7075,17670.652,2121.6702,10352.8125,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1817,763.37695,228.08488,185306.02,7117.4077,17739.807,2129.96,10413.537,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1818,768.47363,228.97229,186026.98,7145.099,17808.94,2138.2468,10474.413,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1819,773.58655,229.85939,186747.7,7172.7812,17878.05,2146.531,10535.439,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1820,778.7156,230.74622,187468.2,7200.4546,17947.14,2154.8125,10596.617,0.0,2125.8563,69383.59726092104,119459.1478367189
Afghanistan,AFG,1821,783.3256,231.47183,188057.72,7223.0977,18003.705,2161.5886,10650.697,0.0,2125.8563,69383.59726092104,119459.1478367189
